Tiempo,Memoria(%),CPU(%)
23:43:07,51,95
23:43:12,51,95
23:43:17,51,95
23:43:22,51,95
23:43:28,51,95
23:43:33,51,95
23:43:38,51,95
23:43:43,51,95
23:43:48,51,95
23:43:54,51,95
23:43:59,51,95
23:44:04,51,95
23:44:09,51,95
23:44:14,51,95
23:44:20,51,95
23:44:25,51,95
23:44:30,51,98
23:44:35,51,98
23:44:40,51,98
23:44:46,51,98
23:44:51,51,98
23:44:56,51,98
23:45:01,51,92
23:45:06,51,92
23:45:12,51,92
23:45:17,51,92
23:45:22,51,92
23:45:27,51,92
23:45:32,51,92
23:45:38,51,95
23:45:43,51,95
23:45:48,51,95
23:45:53,51,95
23:45:58,51,95
23:46:04,51,95
23:46:09,51,95
23:46:14,51,95
23:46:19,51,95
23:46:24,51,95
23:46:30,51,95
23:46:35,51,95
23:46:40,51,95
23:46:45,51,95
23:46:50,51,95
23:46:56,51,95
23:47:01,51,95
23:47:06,51,95
23:47:11,51,95
23:47:16,51,95
23:47:22,51,95
23:47:27,51,95
23:47:32,51,95
23:47:37,51,92
23:47:42,51,62
23:47:48,51,62
23:47:53,51,62
23:47:58,51,65
23:48:03,51,62
23:48:08,51,65
23:48:14,51,65
23:48:19,51,65
23:48:24,51,67
23:48:29,51,67
23:48:34,51,62
23:48:40,51,65
23:48:45,51,67
23:48:50,51,70
23:48:55,51,70
23:49:00,51,70
23:49:06,51,70
23:49:11,51,70
23:49:16,51,70
23:49:21,51,73
23:49:26,51,73
23:49:32,51,73
23:49:37,51,73
23:49:42,51,73
23:49:47,51,73
23:49:52,51,73
23:49:58,51,73
23:50:03,51,70
23:50:08,51,70
23:50:13,51,70
23:50:18,51,67
23:50:23,51,67
23:50:29,51,67
23:50:34,51,67
23:50:39,51,67
23:50:44,51,65
23:50:49,51,65
23:50:55,51,65
23:51:00,51,65
23:51:05,51,62
23:51:10,51,62
23:51:15,51,62
23:51:21,51,62
23:51:26,51,62
23:51:31,51,62
23:51:36,51,62
23:51:41,51,62
23:51:47,51,62
23:51:52,51,62
23:51:57,51,62
23:52:02,51,62
23:52:07,51,62
23:52:13,51,65
23:52:18,51,65
23:52:23,51,65
23:52:28,51,62
23:52:33,51,62
23:52:39,51,62
23:52:44,51,62
23:52:49,51,62
23:52:54,51,62
23:52:59,51,62
23:53:05,51,62
23:53:10,51,62
23:53:15,51,62
23:53:20,51,62
23:53:25,51,57
